,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399
0,41,25,36,58,45,19,49,24,10,83,71,75,35,39,59,55,76,2,64,75,95,28,73,62,21,60,7,9,13,97,8,24,0,65,9,12,62,12,97,19,98,91,41,47,20,55,0,80,71,72,76,90,59,6,66,59,3,5,40,44,55,71,10,33,32,75,92,31,19,89,42,21,67,9,50,18,0,39,23,41,58,16,67,40,60,44,66,45,34,61,76,91,77,92,39,84,67,77,75,27,90,59,31,59,62,60,21,84,6,97,82,27,54,43,11,25,29,78,88,70,84,42,80,15,2,57,63,90,60,5,9,11,13,42,71,99,55,17,15,74,13,41,33,43,44,29,79,56,94,75,1,14,32,64,97,70,81,49,65,51,10,32,40,7,4,98,58,25,66,13,98,41,15,13,61,92,93,22,7,56,98,48,11,71,55,85,18,45,97,95,95,91,66,5,56,32,57,37,39,46,74,37,93,31,9,27,30,51,89,84,66,25,47,24,67,82,71,41,22,20,27,79,3,78,85,16,43,60,65,27,41,42,8,36,75,80,95,77,8,22,13,33,17,80,3,67,97,75,1,46,64,32,2,23,96,24,48,42,64,28,15,65,54,57,25,44,32,95,45,18,32,5,4,7,55,59,28,5,19,60,20,14,66,51,75,93,56,25,98,83,7,36,13,72,73,4,36,2,57,74,71,1,14,30,68,24,16,36,20,11,11,35,58,38,88,93,52,31,37,66,61,28,69,86,49,15,5,71,15,11,49,29,14,80,54,49,88,99,5,52,97,71,32,36,71,19,44,93,45,55,8,41,65,26,75,31,38,69,11,62,72,48,6,4,53,91,11,8,19,6,70,97,91,77,11,99,16,80,11,7,70,35,70,98,65,73,49,54,75,4,66,40,16,2,91,71,50,30,10,90
1,77,15,71,93,32,14,68,56,11,62,18,20,65,5,4,38,3,1,95,0,85,28,24,80,61,56,17,20,59,22,91,52,79,92,75,4,54,82,24,45,54,7,76,40,73,80,57,92,63,87,70,14,96,18,85,88,89,18,83,81,90,23,9,36,5,98,0,12,82,16,10,88,93,63,24,18,29,86,33,87,36,46,82,5,3,94,26,11,21,41,18,84,36,14,10,29,95,2,89,15,66,17,29,73,26,72,19,75,18,61,86,97,60,79,69,63,79,84,50,0,15,88,46,19,77,82,74,26,72,40,69,22,18,11,20,79,38,13,3,46,80,34,44,38,24,19,13,71,58,26,47,21,59,98,78,0,60,17,7,54,21,60,28,19,90,80,20,67,85,94,29,21,4,85,6,0,95,74,14,89,24,42,29,24,17,74,63,27,56,33,88,2,2,72,0,46,60,6,31,5,20,18,94,6,49,75,3,56,4,72,13,29,54,23,66,89,48,0,55,33,12,97,21,56,52,19,25,24,38,69,10,79,38,49,93,64,31,71,19,27,50,91,65,18,54,19,48,88,55,5,11,16,75,67,10,65,41,96,33,11,21,33,21,46,45,64,64,47,17,42,90,31,4,32,74,92,16,68,94,77,43,21,2,10,44,51,15,56,73,68,43,69,15,86,57,26,58,32,74,95,15,2,87,24,57,9,64,26,72,46,6,92,47,91,60,81,3,27,10,67,18,46,3,87,40,55,57,78,75,28,69,73,47,72,30,80,2,24,21,37,35,69,50,18,43,89,13,13,98,3,32,78,22,18,4,60,98,84,93,99,47,5,98,63,78,41,11,39,31,37,8,49,37,40,28,5,27,99,88,12,17,98,65,33,25,39,35,35,82,50,32,22,84,77,79,61,82,47,44,12
2,66,21,60,24,82,79,95,51,88,99,3,28,5,76,63,47,34,77,32,24,86,59,67,16,4,83,69,40,19,18,1,69,63,48,67,90,16,2,37,34,37,82,39,92,28,5,71,2,32,81,49,69,20,87,68,27,40,26,54,38,17,96,61,16,80,1,58,81,26,76,99,44,91,65,12,47,99,90,16,69,3,26,92,4,1,87,10,71,90,5,81,82,23,59,77,63,76,29,9,46,98,14,52,61,15,13,28,99,87,11,44,98,31,37,53,69,85,33,40,59,6,50,97,73,94,29,11,41,74,37,15,51,43,9,68,85,35,32,55,97,17,73,3,13,95,36,63,39,51,1,59,43,18,28,74,41,19,78,24,38,31,45,81,78,45,13,64,16,75,81,80,23,19,85,71,46,97,58,61,54,2,56,11,16,19,96,93,22,55,69,59,84,70,20,14,45,11,46,8,13,0,14,83,23,99,4,84,1,88,7,35,73,75,30,92,65,56,89,95,92,5,61,74,8,98,15,91,36,77,81,15,46,94,81,82,65,10,83,39,20,3,87,10,45,67,63,84,27,6,75,92,0,10,93,68,92,63,9,72,98,84,36,83,24,87,32,40,78,93,7,35,62,22,28,49,52,92,3,35,21,37,16,66,74,45,36,76,82,6,61,40,97,82,56,52,39,68,89,74,8,97,66,40,40,53,90,72,43,9,79,4,23,58,30,94,72,40,59,25,63,15,19,65,5,81,8,38,11,85,37,18,33,5,54,4,5,20,56,12,11,98,80,36,15,90,50,23,34,63,55,12,33,31,89,42,88,20,14,86,79,49,57,26,54,27,80,40,12,49,50,2,38,31,73,38,40,66,73,77,99,13,93,47,75,3,85,39,58,38,66,40,46,19,70,0,71,62,85,42,47
3,9,86,24,26,56,83,51,21,82,95,13,81,2,72,7,32,77,36,38,37,20,76,32,61,81,15,71,56,86,96,47,22,0,28,45,55,40,55,97,32,76,54,64,52,29,25,81,41,2,78,60,35,32,57,34,8,17,14,48,24,75,52,53,91,18,68,78,59,48,74,10,90,65,6,20,89,3,83,94,64,59,68,26,9,77,64,15,54,64,39,43,76,37,65,9,29,78,20,66,74,51,41,35,22,84,19,18,28,41,94,27,75,47,11,9,96,33,35,91,72,41,72,94,92,50,72,66,49,86,9,46,31,79,7,45,86,93,63,9,27,61,29,29,1,42,30,9,59,94,99,49,10,58,64,82,67,74,18,9,92,43,64,76,45,88,66,72,59,42,77,66,3,74,62,56,30,21,12,78,74,18,57,33,94,71,18,78,31,15,12,38,70,9,33,21,87,57,95,3,22,80,40,6,68,21,17,5,86,56,87,16,62,92,97,60,97,88,6,53,49,95,85,76,48,59,91,81,46,96,30,4,92,60,25,92,38,3,74,54,2,58,5,71,69,44,96,57,96,0,81,75,98,4,40,76,10,98,37,9,69,16,14,59,18,43,23,33,18,15,37,19,93,31,24,39,0,80,76,61,47,87,42,67,43,51,37,5,61,14,57,6,42,48,19,57,43,19,33,96,78,65,64,42,57,92,26,34,81,30,91,30,36,48,74,77,86,49,11,64,41,87,40,80,85,49,88,17,49,91,2,71,58,15,2,49,72,6,96,71,38,3,82,70,7,61,84,77,7,97,93,1,91,19,57,11,32,99,23,5,59,96,56,4,89,59,33,1,9,87,72,55,1,47,60,61,56,15,50,73,51,94,83,31,44,83,10,60,78,95,61,63,75,44,25,18,44,30,41,92,44
4,25,87,53,65,22,29,47,56,87,72,40,7,75,17,23,43,57,14,99,79,61,66,23,23,13,60,90,93,15,61,62,44,4,20,93,70,87,23,59,3,34,46,34,6,33,92,0,2,56,85,29,88,3,26,36,8,35,83,99,81,55,0,57,68,1,66,23,21,97,52,79,0,59,41,66,19,52,95,8,91,16,33,21,52,31,55,46,3,50,0,78,83,26,31,14,13,57,99,82,67,78,26,84,31,62,80,44,57,87,91,97,52,55,71,36,51,45,31,21,10,89,19,47,21,63,55,16,45,28,98,46,77,31,97,29,97,72,37,92,66,37,92,93,95,56,14,67,30,93,4,35,72,63,99,67,50,64,33,97,0,43,82,31,95,60,89,11,90,72,47,20,96,25,27,74,43,37,41,14,28,20,87,83,70,24,81,63,48,6,19,39,94,11,74,47,33,98,64,12,57,70,33,25,68,16,17,22,85,54,52,65,89,0,57,86,85,31,70,28,95,1,42,72,70,93,81,77,92,66,66,32,24,64,38,74,16,7,86,3,58,51,95,73,44,40,25,94,36,46,39,32,27,41,15,70,86,16,91,0,81,78,85,98,88,38,51,57,15,63,1,10,12,93,55,61,33,1,90,59,72,14,67,10,8,77,8,83,64,25,98,46,8,27,77,99,67,13,57,77,17,34,76,11,36,45,66,39,45,88,61,4,38,7,0,1,54,52,75,7,9,77,72,93,65,44,47,4,85,77,45,13,67,32,66,89,15,26,30,66,12,78,73,77,75,38,37,89,32,9,38,42,47,12,27,62,47,9,87,83,11,6,98,31,55,39,71,43,16,42,29,17,90,7,3,76,2,62,92,63,28,80,31,98,51,65,95,51,97,97,97,97,84,4,22,9,65,15,69,29,32
5,12,98,75,61,7,7,32,35,98,97,45,64,22,24,76,62,60,12,95,17,61,11,5,87,46,46,52,62,32,84,30,66,11,33,25,13,4,0,53,48,10,43,8,87,10,74,69,16,37,3,17,30,70,62,84,67,45,16,52,4,54,19,76,5,51,73,12,31,91,64,54,27,93,84,45,92,66,58,76,21,76,14,9,24,78,93,98,29,39,47,11,45,13,22,86,15,62,87,16,33,14,34,62,6,38,32,17,61,49,25,0,40,2,65,8,15,35,58,47,96,64,45,90,66,47,88,18,27,98,85,63,56,27,83,80,14,38,89,38,41,55,72,13,44,51,88,51,42,2,79,49,44,95,94,28,9,45,76,66,30,69,25,27,80,7,92,75,83,49,13,6,68,85,57,87,98,25,96,95,95,53,59,32,27,95,14,75,76,68,53,19,85,69,57,22,76,68,66,28,62,75,92,66,96,55,45,23,92,28,36,9,89,7,82,85,4,0,96,28,17,5,42,31,97,5,87,76,99,7,9,75,4,61,99,24,45,28,16,45,47,88,42,24,74,2,45,81,96,85,97,12,80,3,44,7,84,88,61,64,9,62,69,56,74,73,32,72,74,50,10,65,79,46,35,79,19,83,13,92,33,54,57,33,14,66,2,59,27,60,5,58,95,97,3,27,92,51,47,38,11,15,56,35,20,8,67,91,98,16,44,56,90,58,36,24,49,56,59,15,53,22,81,49,48,32,91,30,8,81,61,4,59,2,88,54,36,70,47,5,5,11,62,22,22,46,39,36,4,4,93,99,51,72,90,65,24,20,85,39,87,74,30,2,96,67,94,64,28,44,18,82,54,26,84,88,32,26,32,78,62,98,36,13,89,98,79,84,60,55,58,43,59,6,35,87,62,11,81,63,12
6,6,39,9,15,57,95,77,3,22,20,18,19,34,61,79,97,47,2,35,20,87,99,47,59,40,74,94,20,54,9,99,30,58,99,26,98,50,60,81,88,65,67,76,25,85,1,95,65,99,21,13,40,64,38,67,64,6,11,29,29,90,98,80,5,93,48,5,30,42,10,10,44,19,23,10,39,46,91,98,31,63,12,43,39,73,53,49,29,63,40,89,90,25,98,27,71,36,12,65,29,0,70,42,10,35,33,24,98,49,69,98,79,41,91,33,12,48,44,53,71,23,61,55,63,27,28,28,25,32,32,56,49,17,52,29,77,37,79,9,60,29,36,13,4,12,62,87,86,39,29,85,9,15,59,20,84,98,85,42,72,33,68,7,7,72,76,74,45,91,86,65,48,22,19,18,60,91,38,64,41,50,95,55,15,30,41,55,83,10,29,68,97,6,89,48,14,80,48,62,75,8,78,74,43,18,87,98,53,20,21,86,30,9,28,4,39,45,2,95,27,41,71,54,6,27,51,41,90,49,9,21,65,88,42,14,87,23,27,5,6,71,21,22,28,44,98,41,82,9,52,0,46,93,24,56,34,34,27,69,7,39,32,36,69,53,75,47,34,89,76,18,58,28,97,4,5,56,50,44,45,68,75,4,60,55,52,57,60,50,2,27,1,79,34,77,37,61,70,28,51,84,39,24,75,32,92,13,75,53,76,63,31,60,52,42,92,90,71,39,66,79,89,38,43,36,28,9,52,61,59,75,12,34,28,27,42,46,34,6,92,67,50,55,49,20,0,93,28,77,41,66,49,10,5,55,30,19,46,4,49,64,17,59,45,40,19,22,73,55,72,69,91,31,5,2,98,9,91,16,39,52,18,31,50,93,64,95,56,55,83,40,63,0,36,4,86,81,43,78,25
7,63,25,78,11,99,48,10,18,12,72,34,39,26,1,16,69,43,23,68,6,2,26,22,27,68,88,78,91,86,74,66,72,77,89,17,60,33,82,98,60,39,81,75,79,30,38,82,32,61,30,3,63,71,52,7,59,17,22,0,99,51,22,48,75,47,31,5,42,2,26,71,8,98,8,81,18,25,73,52,99,39,29,5,37,91,9,75,92,84,36,96,23,58,15,47,90,99,54,43,27,20,36,92,37,39,10,95,93,87,41,96,29,57,20,96,96,19,11,30,74,67,57,89,48,0,65,17,71,13,57,74,43,98,71,18,91,99,32,18,3,5,31,53,7,88,5,44,99,76,81,62,65,92,88,57,38,99,20,27,26,75,22,89,43,74,32,7,82,40,45,5,42,51,13,17,44,3,80,40,33,17,67,9,11,81,15,15,49,87,90,23,98,8,22,5,61,9,46,1,50,54,86,82,37,2,43,59,69,51,58,63,20,99,75,13,82,81,4,84,15,69,20,77,4,81,27,80,1,58,62,40,47,14,3,55,98,19,51,68,92,53,33,56,92,45,1,60,97,35,58,46,50,81,60,78,66,51,44,64,6,95,93,12,5,74,24,44,32,37,54,29,65,13,24,20,69,57,19,74,21,23,35,20,64,17,52,81,83,43,6,21,40,15,74,29,61,19,98,5,48,93,51,47,34,73,59,54,49,0,6,72,74,46,72,85,64,70,14,69,20,31,10,16,14,16,68,9,33,15,96,50,29,96,91,63,89,10,81,43,49,9,59,53,13,75,21,76,40,76,91,54,66,32,13,96,6,19,17,11,53,43,95,27,74,5,65,65,34,23,38,61,19,83,86,62,61,18,48,60,34,74,94,6,52,31,57,80,87,88,73,94,20,83,23,59,77,29,49,35,10
8,69,23,27,44,20,55,66,20,60,9,5,34,37,98,38,51,57,71,22,80,45,96,93,3,12,86,17,23,15,95,68,95,52,95,6,19,83,63,87,0,56,54,61,89,55,19,87,98,86,13,68,90,82,2,0,32,30,67,34,17,38,37,20,36,77,63,3,71,19,5,67,79,80,14,97,88,57,48,9,93,31,58,31,70,31,86,72,64,28,48,49,26,48,76,70,96,87,45,8,11,23,28,8,7,18,69,90,46,7,56,68,17,93,5,36,71,2,13,62,38,57,39,46,14,25,27,78,62,3,51,88,91,50,44,62,30,97,75,16,88,22,37,43,2,44,62,24,2,87,95,13,23,39,83,77,95,46,93,83,69,82,5,47,17,31,75,36,72,0,73,87,14,25,71,80,20,68,4,90,12,21,22,9,69,35,41,82,73,89,12,63,62,92,18,1,3,46,30,70,20,7,6,75,32,76,46,57,12,49,48,6,38,57,10,22,31,82,77,67,57,19,20,16,27,92,93,54,12,75,63,30,66,49,5,73,54,3,9,7,45,16,20,50,43,22,47,58,37,82,50,4,45,50,64,38,79,17,47,75,9,15,71,6,47,68,15,24,5,37,18,43,60,1,18,34,50,82,87,89,86,3,77,9,84,75,32,44,36,75,37,75,66,95,52,84,13,18,42,3,71,54,67,95,15,27,74,0,0,54,47,69,51,97,96,46,39,30,42,66,0,61,13,12,19,13,46,55,66,73,46,54,73,49,46,77,75,44,91,63,9,55,59,2,56,78,17,55,69,46,66,32,48,75,79,32,98,11,4,6,29,29,84,10,41,94,4,7,8,54,27,32,58,92,2,60,78,48,68,45,67,63,17,76,42,65,55,94,19,50,16,19,0,47,66,78,56,67,86,34,79
9,93,35,5,94,28,97,99,90,58,99,6,91,78,30,40,38,17,43,78,66,58,85,19,92,44,5,7,7,18,66,9,3,7,67,11,23,54,64,67,4,78,74,0,77,97,21,14,30,54,19,11,46,25,85,89,6,22,0,70,89,40,87,50,38,74,31,45,38,21,15,1,1,67,31,30,82,95,52,5,27,88,52,30,66,37,99,93,6,96,26,10,36,83,95,91,76,90,75,90,23,92,34,88,92,89,74,17,85,47,17,58,82,63,23,30,77,95,62,54,11,90,64,50,53,69,77,31,82,98,86,47,80,35,17,20,34,78,8,72,48,31,30,73,1,58,69,54,19,48,35,66,44,8,95,12,66,57,52,65,61,51,64,51,1,21,44,11,39,75,30,74,35,42,82,6,3,14,11,59,47,80,38,80,54,75,7,31,96,17,24,95,75,89,90,25,96,94,84,96,44,55,52,18,25,19,58,34,18,10,3,16,97,13,54,98,76,87,93,17,59,72,54,24,33,47,22,90,43,95,7,70,74,49,76,58,93,14,55,21,91,66,23,13,75,75,56,83,29,80,85,82,9,30,27,92,12,43,0,5,81,37,0,47,71,0,70,79,40,91,13,50,17,8,34,70,37,27,26,30,23,83,81,47,22,80,32,54,57,27,80,8,75,68,55,79,87,53,5,72,48,45,76,41,31,29,87,70,19,29,10,91,13,80,97,50,36,79,29,10,85,30,46,44,87,35,83,52,46,70,5,99,62,34,45,87,22,91,42,6,54,58,60,72,44,3,38,16,8,37,29,44,55,49,19,15,51,24,66,39,75,0,90,80,65,72,52,49,28,44,6,42,26,39,31,37,34,13,71,53,58,20,26,9,19,17,74,79,49,11,92,79,58,7,41,21,73,97,87,81,97
